player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Aaron Anselmino,Dortmund,Bundesliga,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Aaron Anselmino,Strasbourg,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Aaron Hickey,Brentford,Premier League,2025-2026,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Aaron Ramsdale,Newcastle United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Aaron Wan-Bissaka,West Ham United,Premier League,2025-2026,24,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Aaron Zehnter,Wolfsburg,Bundesliga,2025-2026,10,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Aarón Escandell,Oviedo,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
Aarón Martín,Genoa,Serie A,2025-2026,27,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,0
Abakar Sylla,Nantes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Abakar Sylla,Strasbourg,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Abdallah Sima,Lens,Ligue 1,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Abde Ezzalzouli,Real Betis,La Liga,2025-2026,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3,0
Abde Rebbach,Alavés,La Liga,2025-2026,19,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,7,0
Abdel Abqar,Getafe,La Liga,2025-2026,16,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,10,1
Abdelhamid Ait Boudlal,Rennes,Ligue 1,2025-2026,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,1
Abdelhamid Sabiri,Fiorentina,Serie A,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Abdou Harroui,Hellas Verona,Serie A,2025-2026,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Abdoul Coulibaly,Werder Bremen,Bundesliga,2025-2026,14,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1
Abdoul Ouattara,Strasbourg,Ligue 1,2025-2026,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Abdoulaye Bamba,Angers,Ligue 1,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Abdoulaye Camara,Udinese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Abdoulaye Faye,Lorient,Ligue 1,2025-2026,24,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,8,0
Abdoulaye Niakhate Ndiaye,Parma,Serie A,2025-2026,10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5,1
Abdoulaye Touré,Le Havre,Ligue 1,2025-2026,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Abdoulie Ceesay,St Pauli,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,0
Abdukodir Khusanov,Manchester City,Premier League,2025-2026,19,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Abdul Mumin,Rayo Vallecano,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Abdulai Juma Bah,Nice,Ligue 1,2025-2026,18,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,7,0
Abdón Prats,Mallorca,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Abel Bretones,Osasuna,La Liga,2025-2026,12,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,1
Abel Ruiz,Girona,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Abner,Lyon,Ligue 1,2025-2026,24,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,1
Aboubaka Soumahoro,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Abu Kamara,Getafe,La Liga,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Achraf Hakimi,Paris Saint-Germain,Ligue 1,2025-2026,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,1
Adam Armstrong,Wolves,Premier League,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Adam Boayar,Elche,La Liga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adam Buksa,Udinese,Serie A,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Adam Daghim,Wolfsburg,Bundesliga,2025-2026,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Adam Dźwigała,St Pauli,Bundesliga,2025-2026,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,0
Adam Hložek,Hoffenheim,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
